"Gene"	"Freq"
"AQP10"	2
"AQP11"	2
"AQP12A"	2
"AQP2"	2
"AQP3"	2
"AQP4"	2
"AQP5"	2
"AQP6"	2
"AQP7"	2
"AQP8"	2
"AQP9"	2
"ARAF"	2
"ARC"	2
"ARCN1"	2
"ARD1A"	2
"ARF3"	2
"ARF4"	2
"ARF5"	2
"ARFGAP1"	2
"ARFGAP3"	2
"ARFGEF1"	2
"ARFGEF2"	2
"ARFIP1"	2
"ARFIP2"	2
"ARFRP1"	2
"ARG2"	2
"ARHGAP1"	2
"ARHGAP11A"	2
"ARHGAP12"	2
"ARHGAP15"	2
"ARHGAP19"	2
"ARHGAP21"	2
"ARHGAP22"	2
"ARHGAP24"	2
"ARHGAP25"	2
"ARHGAP26"	2
"ARHGAP27"	2
"ARHGAP4"	2
"ARHGAP5"	2
"ARHGAP6"	2
"ARHGAP8"	2
"ARHGAP9"	2
"ARHGDIB"	2
"ARHGDIG"	2
"ARHGEF1"	2
"ARHGEF11"	2
"ARHGEF12"	2
"ARHGEF15"	2
"ARHGEF16"	2
"ARHGEF18"	2
"ARHGEF2"	2
"ARHGEF4"	2
"ARHGEF5"	2
"ARHGEF6"	2
"ARHGEF7"	2
"ARHGEF9"	2
"ARID1A"	2
"ARID1B"	2
"ARID3B"	2
"ARID4A"	2
"ARIH1"	2
"ARIH2"	2
"ARL1"	2
"ARL10"	2
"ARL11"	2
"ARL13B"	2
"ARL14"	2
"ARL3"	2
"ARL4"	2
"ARL4C"	2
"ARL5"	2
"ARL5B"	2
"ARL6"	2
"ARL6IP"	2
"ARL6IP2"	2
"ARL6IP5"	2
"ARL6IP6"	2
"ARL8A"	2
"ARL8B"	2
"ARMC1"	2
"ARMC2"	2
"ARMC3"	2
"ARMC4"	2
"ARMC7"	2
"ARMC8"	2
"ARMC9"	2
"ARMCX1"	2
"ARMCX2"	2
"ARMCX3"	2
"ARMCX4"	2
"ARMET"	2
"ARNT"	2
"ARNT2"	2
"ARNTL"	2
"ARNTL2"	2
"ARPC1A"	2
"ARPC2"	2
"ARPC3"	2
"ARPC5"	2
"ARPC5L"	2
"ARPM2"	2
"ARPP-19"	2
"ARPP-21"	2
"ARR3"	2
"ARRB2"	2
"ARRDC1"	2
"ARRDC2"	2
"ARRDC4"	2
"ARS2"	2
"ARSA"	2
"ARSB"	2
"ARSD"	2
"ARSE"	2
"ARSF"	2
"ARSG"	2
"ARSK"	2
"ART4"	2
"ART5"	2
"ARTN"	2
"ARTS-1"	2
"ARV1"	2
"ARX"	2
"ASAH1"	2
"ASAH3"	2
"ASAHL"	2
"ASAM"	2
"ASB10"	2
"ASB11"	2
"ASB14"	2
"ASB16"	2
"ASB2"	2
"ASB5"	2
"ASB6"	2
"ASB8"	2
"ASCC3"	2
"ASCC3L1"	2
"ASCIZ"	2
"ASCL1"	2
"ASCL2"	2
"ASF1B"	2
"ASGR1"	2
"ASGR2"	2
"ASH1L"	2
"ASH2L"	2
"ASIP"	2
"ASL"	2
"ASNA1"	2
"ASNS"	2
"ASNSD1"	2
"ASPA"	2
"ASPHD1"	2
"ASPHD2"	2
"ASPM"	2
"ASPSCR1"	2
"ASRGL1"	2
"ASS"	2
"ASTE1"	2
"ASTN"	2
"ASTN2"	2
"ASZ1"	2
"ATAD1"	2
"ATAD2"	2
"ATAD3A"	2
"ATAD3C"	2
"ATAD4"	2
"ATBF1"	2
"ATF1"	2
"ATF2"	2
"ATF4"	2
"ATF5"	2
"ATF6"	2
"ATF7"	2
"ATF7IP"	2
"ATG12"	2
"ATG16L1"	2
"ATG4A"	2
"ATG4C"	2
"ATG4D"	2
"ATG5"	2
"ATG7"	2
"ATG9A"	2
"ATIC"	2
"ATN1"	2
"ATOH1"	2
"ATOH8"	2
"ATOX1"	2
"ATP11B"	2
"ATP12A"	2
"ATP13A2"	2
"ATP13A4"	2
"ATP1A1"	2
"ATP1A3"	2
"ATP1A4"	2
"ATP1B1"	2
"ATP1B2"	2
"ATP1B3"	2
"ATP1B4"	2
"ATP2A1"	2
"ATP2A2"	2
"ATP2A3"	2
"ATP2B1"	2
"ATP2B2"	2
"ATP2B3"	2
"ATP2B4"	2
"ATP2C1"	2
"ATP4A"	2
"ATP4B"	2
"ATP5B"	2
"ATP5D"	2
"ATP5E"	2
"ATP5F1"	2
"ATP5G2"	2
"ATP5G3"	2
"ATP5H"	2
"ATP5I"	2
"ATP5J"	2
"ATP5J2"	2
"ATP5L"	2
"ATP5O"	2
"ATP5S"	2
"ATP6AP1"	2
"ATP6V0A1"	2
"ATP6V0A2"	2
"ATP6V0A4"	2
"ATP6V0B"	2
"ATP6V0D1"	2
"ATP6V0D2"	2
"ATP6V0E"	2
"ATP6V1A"	2
"ATP6V1B1"	2
"ATP6V1B2"	2
"ATP6V1C1"	2
"ATP6V1C2"	2
"ATP6V1D"	2
"ATP6V1E1"	2
"ATP6V1E2"	2
"ATP6V1F"	2
"ATP6V1G1"	2
"ATP6V1H"	2
"ATP7B"	2
"ATP8A1"	2
"ATP8A2"	2
"ATP8B1"	2
"ATP8B2"	2
"ATP9A"	2
"ATP9B"	2
"ATPAF1"	2
"ATPBD1B"	2
"ATPBD3"	2
"ATPBD4"	2
"ATPIF1"	2
"ATR"	2
"ATRN"	2
"ATXN1"	2
"ATXN10"	2
"ATXN2"	2
"ATXN2L"	2
"ATXN3"	2
"AUH"	2
"AUP1"	2
"AURKB"	2
"AUTS2"	2
"AVEN"	2
"AVIL"	2
"AVP"	2
"AVPR1B"	2
"AVPR2"	2
"AXIN1"	2
"AXIN2"	2
"AXL"	2
"AXUD1"	2
"AYTL1"	2
"AYTL2"	2
"AZGP1"	2
"AZI2"	2
"B2M"	2
"B3GALNT2"	2
"B3GALT1"	2
"B3GALT2"	2
"B3GALT3"	2
"B3GALT5"	2
"B3GALT6"	2
"B3GALT7"	2
"B3GAT1"	2
"B3GAT2"	2
"B3GAT3"	2
"B3GNT1"	2
"B3GNT3"	2
"B3GNT4"	2
"B3GNT5"	2
"B3GNT6"	2
"B3GNTL1"	2
"B3GTL"	2
"B4GALNT2"	2
"B4GALNT3"	2
"B4GALNT4"	2
"B4GALT1"	2
"B4GALT2"	2
"B4GALT3"	2
"B4GALT4"	2
"B4GALT6"	2
"BAALC"	2
"BACE1"	2
"BACE2"	2
"BACH1"	2
"BAD"	2
"BAG1"	2
"BAG2"	2
"BAG3"	2
"BAGE"	2
"BAHD1"	2
"BAI1"	2
"BAI2"	2
"BAI3"	2
"BAIAP2"	2
"BAIAP3"	2
"BAK1"	2
"BAMBI"	2
"BANF1"	2
"BANK1"	2
"BANP"	2
"BAP1"	2
"BAPX1"	2
"BARHL1"	2
"BARHL2"	2
"BARX2"	2
"BASP1"	2
"BAT1"	2
"BAT2"	2
"BAT2D1"	2
"BAT3"	2
"BAT5"	2
"BATF"	2
"BATF2"	2
"BAX"	2
"BAZ1A"	2
"BAZ2A"	2
"BBC3"	2
"BBS1"	2
"BBS4"	2
"BBS5"	2
"BBS7"	2
"BCAM"	2
"BCAN"	2
"BCAP29"	2
"BCAR1"	2
"BCAR3"	2
"BCAS1"	2
"BCAS2"	2
"BCAS3"	2
"BCAS4"	2
"BCAT1"	2
"BCAT2"	2
"BCCIP"	2
"BCDO2"	2
"BCKDHB"	2
"BCKDK"	2
"BCL10"	2
"BCL11A"	2
"BCL2L1"	2
"BCL2L10"	2
"BCL2L12"	2
"BCL2L13"	2
"BCL2L2"	2
"BCL3"	2
"BCL6"	2
"BCL7A"	2
"BCL7B"	2
"BCL7C"	2
"BCL9L"	2
"BCLAF1"	2
"BCMO1"	2
"BCOR"	2
"BCORL1"	2
"BCR"	2
"BCS1L"	2
"BDH"	2
"BDH2"	2
"BDKRB1"	2
"BDKRB2"	2
"BDNF"	2
"BECN1"	2
"BET1"	2
"BEX1"	2
"BEX2"	2
"BFAR"	2
"BFSP1"	2
"BFSP2"	2
"BGLAP"	2
"BGN"	2
"BHLHB2"	2
"BHLHB3"	2
"BHLHB5"	2
"BHLHB8"	2
"BHLHB9"	2
"BHMT"	2
"BICD2"	2
"BIN1"	2
"BIN2"	2
"BIRC1"	2
"BIRC2"	2
"BIRC4"	2
"BIRC4BP"	2
"BIRC6"	2
"BIRC8"	2
"BIVM"	2
"Bles03"	2
"BLK"	2
"BLM"	2
"BLMH"	2
"BLOC1S1"	2
"BLOC1S2"	2
"BLOC1S3"	2
"BLR1"	2
"BLVRA"	2
"BLZF1"	2
"BM88"	2
"BMF"	2
"BMP1"	2
"BMP10"	2
"BMP15"	2
"BMP2"	2
"BMP2K"	2
"BMP4"	2
"BMP6"	2
"BMP8A"	2
"BMP8B"	2
"BMPER"	2
"BMPR1A"	2
"BMPR1B"	2
"BMPR2"	2
"BMS1L"	2
"BMX"	2
"BNC2"	2
"BNIP1"	2
"BNIP2"	2
"BNIP3"	2
"BNIPL"	2
"BOC"	2
"BOK"	2
"BOLA1"	2
"BOLL"	2
"BOP1"	2
"BPESC1"	2
"BPGM"	2
"BPHL"	2
"BPI"	2
"BPIL1"	2
"BPIL2"	2
"BPIL3"	2
"BRAP"	2
"BRCA2"	2
"BRD1"	2
"BRD2"	2
"BRD3"	2
"BRD4"	2
"BRD7"	2
"BRD8"	2
"BRDG1"	2
"BRDT"	2
"BRF1"	2
"BRF2"	2
"BRI3"	2
"BRI3BP"	2
"BRIP1"	2
"BRP44"	2
"BRP44L"	2
"BRPF1"	2
"BRRN1"	2
"BRSK2"	2
"BRUNOL5"	2
"BRUNOL6"	2
"BRWD1"	2
"BRWD2"	2
"BRWD3"	2
"BSCL2"	2
"BSDC1"	2
"BSN"	2
"BSND"	2
"BST2"	2
"BTAF1"	2
"BTBD1"	2
"BTBD11"	2
"BTBD14A"	2
"BTBD14B"	2
"BTBD3"	2
"BTBD5"	2
"BTBD6"	2
"BTBD7"	2
